name,category,image_url,date_sold_item,median_price_sold_item,count_sold_item
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-05-29,255.177,758
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-05-30,246.919,782
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-05-31,255.635,782
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-01,252.646,361
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-02,256.124,504
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-03,243.649,1130
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-04,245.259,638
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-05,244.964,699
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-06,240.305,342
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-07,245.177,474
